"","x"
"1142","#37A2A3"
"1143","#37A2A4"
"1144","#37A2A4"
"1145","#37A2A4"
"1146","#37A2A4"
"1147","#37A2A4"
"1148","#37A2A4"
"1149","#37A2A4"
"1150","#37A2A4"
"1151","#37A2A4"
"1152","#37A2A4"
"1153","#37A2A4"
"1154","#37A2A4"
"1155","#37A2A5"
"1156","#37A2A5"
"1157","#37A2A5"
"1158","#37A2A5"
"1159","#37A1A5"
"1160","#37A1A5"
"1161","#37A1A5"
"1162","#37A1A5"
"1163","#37A1A5"
"1164","#37A1A5"
"1165","#37A1A5"
"1166","#37A1A5"
"1167","#37A1A6"
"1168","#37A1A6"
"1169","#37A1A6"
"1170","#37A1A6"
"1171","#37A1A6"
"1172","#37A1A6"
"1173","#37A1A6"
"1174","#37A1A6"
"1175","#37A1A6"
"1176","#37A1A6"
"1177","#37A1A6"
"1178","#37A0A6"
"1179","#37A0A7"
"1180","#37A0A7"
"1181","#37A0A7"
"1182","#37A0A7"
"1183","#37A0A7"
"1184","#37A0A7"
"1185","#37A0A7"
"1186","#37A0A7"
"1187","#37A0A7"
"1188","#37A0A7"
"1189","#37A0A7"
"1190","#37A0A7"
"1191","#37A0A8"
"1192","#37A0A8"
"1193","#37A0A8"
"1194","#37A0A8"
"1195","#37A0A8"
"1196","#379FA8"
"1197","#379FA8"
"1198","#379FA8"
"1199","#379FA8"
"1200","#379FA8"
"1201","#379FA8"
"1202","#379FA8"
"1203","#379FA9"
"1204","#379FA9"
"1205","#379FA9"
"1206","#379FA9"
"1207","#379FA9"
"1208","#379FA9"
"1209","#379FA9"
"1210","#379FA9"
"1211","#379FA9"
"1212","#379FA9"
"1213","#379FA9"
"1214","#379EA9"
"1215","#379EAA"
"1216","#379EAA"
"1217","#379EAA"
"1218","#379EAA"
"1219","#379EAA"
"1220","#379EAA"
"1221","#379EAA"
"1222","#379EAA"
"1223","#379EAA"
"1224","#379EAA"
"1225","#379EAA"
"1226","#379EAA"
"1227","#379EAB"
"1228","#379EAB"
"1229","#379EAB"
"1230","#379EAB"
"1231","#379EAB"
"1232","#379EAB"
"1233","#379DAB"
"1234","#379DAB"
